title,director,cast,country,date_added,release_year,listed_in,description,platform
just beyond,[],"['mckenna grace', ' lexi underwood', ' cedric joe', ' tim heidecker', ' riki lindhome', ' nasim pedrad']",[],"october 13, 2021",2021,"['anthology', ' comedy', ' coming of age']","inspired by the writings of r.l. stine, “just beyond” is a supernatural anthology series.",disney_plus
secrets of the zoo,[],['naomi watts'],[],"october 13, 2021",2020,"['animals & nature', ' docuseries', ' family']",this series is a behind-the-scenes look at one of the world’s most famous zoos.,disney_plus
secrets of the zoo,[],[],[],"october 13, 2021",2020,['reality'],"the north carolina zoo has more than 1,000 animals that live in lush natural habitats.",disney_plus
the wizard of paws,[],[],[],"october 13, 2021",2021,"['animals & nature', ' docuseries', ' medical']",follow pet prosthetics pioneer derrick campana as he gives troubled animals a second chance.,disney_plus
zombies,[],[],[],"october 13, 2021",2020,"['animation', ' coming of age', ' fantasy']",things are smooth sailing at seabrook high until ...,disney_plus
just roll with it,[],"['tobie windham', ' suzi barrett', ' ramon reed', ' kaylin hayman', ' jc currais', ' raven-symoné']",[],"october 8, 2021",2019,['comedy'],the bennett-blatts set out to reverse an evil curse!,disney_plus
mickey's tale of two witches,['jeff gordon'],"['bret iwan', ' kaitlyn robrock', ' bill farmer', ' daniel ross', ' tress macneille', ' jim cummings']",[],"october 8, 2021",2021,"['animation', ' family', ' fantasy']",mickey tells a tale of two witches-in-training!,disney_plus
muppets haunted mansion,['kirk thatcher'],"['dave goelz', ' bill barretta', ' will arnett', ' taraji p. henson', ' yvette nicole brown', ' darren criss']",[],"october 8, 2021",2021,"['comedy', ' family', ' musical']",gonzo is challenged to spend halloween night in the scariest place on earth – the haunted mansion.,disney_plus
the most magical story on earth,['dave hoffman'],"['whoopi goldberg', ' christina aguilera', ' halle bailey', ' orlando philharmonic orchestra', ' anthony anderson', ' tom brady']",[],"october 8, 2021",2021,"['family', ' variety']",celebrating 50 years of the walt disney world resort.,disney_plus
under wraps,['alex zamm'],"['malachi barton', ' christian j. simon', ' sophia hammons', ' melanie brook', ' brent stait', ' jordana largy']",[],"october 8, 2021",2021,"['action-adventure', ' comedy', ' kids']",three friends revive a mummy in a neighbor's basement.,disney_plus
among the stars,[],['chris cassidy'],[],"october 6, 2021",2021,['docuseries'],nasa astronaut captain chris cassidy and the nasa team take on the challenges of space exploration.,disney_plus
black widow,['cate shortland'],"['scarlett johansson', ' florence pugh', ' david harbour', ' o-t fagbenle', ' rachel weisz', ' ray winstone']",['united states'],"october 6, 2021",2021,"['action-adventure', ' science fiction', ' spy/espionage']",natasha confronts her history as a spy and the broken relationships left in her wake.,disney_plus
drain the oceans,[],['russell boulter'],"['united kingdom', ' australia']","october 6, 2021",2017,"['docuseries', ' historical']",pull the plug on the ocean to reveal hidden secrets using groundbreaking technology.,disney_plus
drain the oceans,[],['kerry shale'],[],"october 6, 2021",2021,"['docuseries', ' historical']",drain the oceans takes underwater archaeology into a whole new era.,disney_plus
fauci,"['john hoffman', ' janet tobias']","['dr. anthony fauci', ' bono', ' george w. bush', ' peter staley']",['united states'],"october 6, 2021",2021,"['biographical', ' documentary']","""fauci"" reveals the extraordinary life and career of dr. anthony fauci.",disney_plus
impact with gal gadot,[],['gal gadot'],['united states'],"october 6, 2021",2021,['docuseries'],national geographic presents impact with gal gadot honors impactful women.,disney_plus
the ghost and molly mcgee,[],"['ashly burch', ' dana snyder']",['united states'],"october 6, 2021",2021,"['animation', ' buddy', ' coming of age']",a grumpy ghost and cheerful tween are eternally bound.,disney_plus
alvin and the chipmunks,['tim hill'],"['jason lee', ' david cross', ' cameron richardson', ' jane lynch', ' justin long', ' matthew gray gubler']",['united states'],"october 1, 2021",2007,"['animation', ' comedy', ' family']","pop-singer chipmunks alvin, simon and theodore turn a songwriter's life upside-down.",disney_plus
alvin and the chipmunks,['walt becker'],"['jason lee', ' tony hale', ' kimberly williams-paisley', ' josh green', ' bella thorne', ' uzo aduba']",['united states'],"october 1, 2021",2015,"['comedy', ' family', ' music']","your favorite fur balls, the chipmunks, hit the road for an all-new, music-filled adventure.",disney_plus
lego star wars terrifying tales,['ken cunningham'],"['jake green', ' raphael alejandro', ' dana snyder', ' tony hale', ' christian slater', ' trevor devall']",[],"october 1, 2021",2021,"['action-adventure', ' animation', ' science fiction']",poe and bb-8 are told terrifying tales as they search for help in darth vader’s creepy old castle.,disney_plus
maleficent,['robert stromberg'],"['angelina jolie', ' sharlto copley', ' elle fanning', ' sam riley', ' imelda staunton', ' juno temple']","['united states', ' united kingdom']","october 1, 2021",2014,"['action-adventure', ' family', ' fantasy']","driven by revenge, maleficent places a curse upon the king’s newborn infant, aurora.",disney_plus
the scariest story ever,"['alonso ramirez ramos', ' eddie trigueros', ' dave wasson']","['chris diamantopoulos', ' tony anselmo', ' tress macneille', ' bill farmer', ' russi taylor']",[],"october 1, 2021",2017,"['animation', ' family', ' parody']",mickey tells a scary story on halloween.,disney_plus
disney vampirina,[],"['isabella crovetti', ' lauren graham', ' james van der beek', ' jordan davis', ' wanda sykes', ' mitchell whitfield']","['ireland', ' united states']","september 29, 2021",2017,"['animation', ' fantasy', ' kids']",vampirina is the new girl in town!,disney_plus
disney's magic bake,[],"['issac ryan brown', ' dara reneé', ' graciela gomez']",['united states'],"september 29, 2021",2021,"['family', ' game show / competition']",kid bakers compete to be named disney baking champion.,disney_plus
great barrier reef,[],['don halbert'],[],"september 29, 2021",2020,"['animals & nature', ' docuseries']",explore the complex great barrier reef along with the wildlife that inhabit it.,disney_plus
ready for preschool,[],[],[],"september 29, 2021",2019,"['kids', ' music']",the love of learning begins with disney junior!,disney_plus
rolie polie olie,[],"['cole caplan', ' kristen bone', ' robert smith', ' catherine disher', ' adrian truss', ' len carlson']","['canada', ' united states', ' france']","september 29, 2021",1998,"['animation', ' science fiction']",rolie polie olie’s life and adventures center on his robo-family.,disney_plus
star wars galaxy of sounds,[],[],[],"september 29, 2021",2021,"['animation', ' anthology', ' science fiction']","""star wars galaxy of sounds"" immerses audiences in the nostalgic ambience of a galaxy far, far away.",disney_plus
the hatcher family dairy,[],[],[],"september 29, 2021",2021,"['animals & nature', ' docuseries', ' reality']","the hatcher family enjoys a nonstop circus of animals, farming and family.",disney_plus
the simpsons,[],"['dan castellaneta', ' julie kavner', ' nancy cartwright', ' yeardley smith', ' hank azaria', ' pamela hayden']",['united states'],"september 29, 2021",1989,"['animation', ' comedy']","the world’s favorite nuclear family, in the award-winning, history-making series.",disney_plus
a spark story,"['jason sterman', ' leanne dare']","['apthon corbin', ' louis gonzales']",[],"september 24, 2021",2021,['documentary'],two pixar filmmakers strive to bring their uniquely personal sparkshorts visions to the screen.,disney_plus
spooky buddies,['robert vince'],"['tucker albrizzi', ' diedrich bader', ' ameko eks mass carroll', ' max charles', ' tim conway', ' jennifer elise cox']","['united states', ' canada']","september 24, 2021",2011,"['comedy', ' fantasy', ' kids']",the puppies go on a spooky adventure through a mysterious haunted mansion in this fur-raising flick.,disney_plus
the fault in our stars,['josh boone'],"['shailene woodley', ' ansel elgort', ' laura dern', ' sam trammell', ' nat wolff', ' willem dafoe']",['united states'],"september 24, 2021",2014,"['coming of age', ' drama', ' romance']",hazel and gus share a love that sweeps them on an unforgettable journey.,disney_plus
dog,[],['matt beisner'],['united states'],"september 22, 2021",2019,"['animals & nature', ' docuseries', ' family']",matt beisner uses unique approaches to modifying canine behavior and focuses on each animal’s needs.,disney_plus
spidey and his amazing friends,[],"['benjamin valic', ' lily sanfelippo', ' jakari fraser', ' dee bradley baker', ' melanie minichino']",['united states'],"september 22, 2021",2021,"['action-adventure', ' animation', ' kids']",spidey teams up with pals to become the spidey team!,disney_plus
star wars,[],[],[],"september 22, 2021",2021,"['action-adventure', ' animation', ' anime']",an animated anthology celebrating star wars through the lens of the world’s best anime creators.,disney_plus
confessions of a shopaholic,['p.j. hogan'],"['isla fisher', ' hugh dancy', ' joan cusack', ' john goodman', ' john lithgow', ' kristin scott thomas']",['united states'],"september 17, 2021",2009,"['comedy', ' romance', ' romantic comedy']",becky writes a personal finance column en route to a high-fashion mag job.,disney_plus
