title,director,cast,country,date_added,release_year,listed_in,description,platform
forky asks a question,['bob peterson'],"['tony hale', ' jeff garlin', ' bob peterson']",['united states'],"january 3, 2020",2020,"['animation', ' comedy', ' family']","buttercup, annoyed with all of forky’s questions, speed teaches everything there is.",disney_plus
austin & ally,[],"['ross lynch', ' laura marano', ' raini rodriguez', ' calum worthy']",['united states'],"january 1, 2020",2011,"['comedy', ' coming of age', ' kids']","austin, a musician, and ally, a songwriter, form a team.",disney_plus
billy dilley's super,[],"['aaron springer', ' catherine wayne', ' tom kenny']",['united states'],"january 1, 2020",2016,"['animation', ' comedy', ' fantasy']",billy and his friends get stuck inside earth's core.,disney_plus
cars toon,['john lasseter'],"['larry the cable guy ', ' keith ferguson']",['united states'],"january 1, 2020",2008,"['animation', ' comedy', ' family']",mater is a famous bulldozer fighter in spain.,disney_plus
cars toon,['rob gibbs'],"['larry the cable guy ', ' keith ferguson', ' josh cooley']",['united states'],"january 1, 2020",2010,"['animation', ' comedy', ' family']",mater’s mission on the moon: rescue the impala xiii.,disney_plus
cars toon,['john lasseter'],"['larry the cable guy ', ' keith ferguson', ' bret parker', ' peter sohn', ' bob peterson', ' bob scott']",['united states'],"january 1, 2020",2010,"['animation', ' comedy', ' family']",mater is a fire truck that rescues mcqueen from a fire,disney_plus
cars toon,['jeremy lasky'],"['keith ferguson', ' paul dooley', ' tony shalhoub', ' lloyd sherr', ' michael wallis', ' guido quaroni']",['united states'],"january 1, 2020",2013,"['animation', ' family']",guido discovers his talent as a sign spinner.,disney_plus
cars toon,['rob gibbs'],"['larry the cable guy ', ' keith ferguson', ' john higgins', ' katherine helmond']",['united states'],"january 1, 2020",2012,"['animation', ' comedy', ' family']",mater travels back in time to 1909.,disney_plus
cars toon,['john lasseter'],"['larry the cable guy ', ' keith ferguson', ' michael wallis', ' mach kobayashi', ' robert ito']",['united states'],"january 1, 2020",2008,"['animation', ' comedy', ' family']","mater is in tokyo, where he is challenged to a race.",disney_plus
cars toon,['john lasseter'],"['larry the cable guy ', ' keith ferguson']",['united states'],"january 1, 2020",2010,"['animation', ' comedy', ' family']",mater and lightning mcqueen rescue a ufo named mator.,disney_plus
cars toons,['jeremy lasky'],"['jerome ranft', ' josh cooley']",['united states'],"january 1, 2020",2013,"['animation', ' family']",red's peaceful morning routine is interrupted by a pesky visitor.,disney_plus
cool runnings,['jon turteltaub'],"['leon ', ' doug doug', ' rawle lewis', ' malik yoba', ' raymond barry', ' larry gilman']",['united states'],"january 1, 2020",1993,"['biographical', ' comedy', ' family']",based on the true story of jamaican bobsledders at the winter olympics.,disney_plus
drain alcatraz,['wayne abbott'],"['craig sechler', ' russell boulter']",['united states'],"january 1, 2020",2017,['documentary'],draining the waters around alcatraz reveals the infamous prison’s deepest secrets.,disney_plus
drain the bermuda triangle,['jobim sampson'],['russell boulter'],['united states'],"january 1, 2020",2014,['documentary'],explore the bermuda triangle by draining the water to see what lies beneath the surface.,disney_plus
drain the great lakes,"['crispin sadler', ' wayne abbott']",['cham giobbi'],"['united kingdom', ' canada', ' united states']","january 1, 2020",2011,['documentary'],this groundbreaking television program pulls a virtual plug on the huge lakes.,disney_plus
drain the ocean,['mike slee'],['russell boulter'],['united states'],"january 1, 2020",2016,"['documentary', ' historical']",new undersea surveys and 3-d imaging reveal secrets of world war ii shipwrecks.,disney_plus
drain the sunken pirate city,['sophie harris'],['russell boulter'],['united kingdom'],"january 1, 2020",2017,"['documentary', ' historical']",hidden beneath jamaica’s kingston harbour lie the ruins of the biggest pirate city of all time.,disney_plus
drain the titanic,['jobim sampson'],['russell boulter'],"['united kingdom', ' canada', ' united states']","january 1, 2020",2015,"['documentary', ' historical']",we reveal the most famous ship wreck site by virtually draining the titanic.,disney_plus
first class chefs,[],"['gia ré', ' matt tebbutt']",[],"january 1, 2020",2015,"['family', ' game show / competition']",first class chefs: family style is a cooking competition for the whole family!,disney_plus
hacksaw,['larry lansburgh'],"['tab hunter', ' victor millan', ' ray teal', ' russ mccubbin', ' george barrows', ' christine austin']",['united states'],"january 1, 2020",1971,"['animals & nature', ' family', ' sports']",a wilderness guide sets out to catch a legendary wild horse. see details for advisory.,disney_plus
holes,['andrew davis'],"['sigourney weaver', ' jon voight', ' patricia arquette', ' tim nelson', ' dulé hill', ' shia labeouf']",['united states'],"january 1, 2020",2003,"['coming of age', ' drama', ' family']",the yelnats family curse lands young stanley at camp green lake.,disney_plus
marvel 75 years,['zak knutson'],"['laura shields', ' stan lee', ' alan fine', ' nicole perlman', ' jimmy kimmel', ' gerry conway']",['united states'],"january 1, 2020",2014,"['documentary', ' family']",see how marvel became the top super hero storyteller in special interviews.,disney_plus
marvel rising,[],"['dee baker', ' dove cameron', ' skai jackson', ' kathreen khavari', ' kamil mcfadden', ' tyler posey']",['united states'],"january 1, 2020",2019,"['action-adventure', ' animation', ' superhero']",gwen (ghost-spider) has to defeat screaming mimi both on the streets and on the stage.,disney_plus
one strange rock,[],['will smith'],['united states'],"january 1, 2020",2017,"['animals & nature', ' docuseries', ' family']","hosted by will smith, one strange rock reveals the twists of fate that allow life to thrive on earth",disney_plus
out there with jack randall,[],['jack randall'],[],"january 1, 2020",2019,"['action-adventure', ' animals & nature', ' docuseries']",zoologist jack randall searches for dangerous animals in the most unforgiving environments on earth.,disney_plus
super rhino,['nathan greno'],"['miley cyrus', ' mark walton', ' susie essman', ' malcolm mcdowell', ' randy savage']",['united states'],"january 1, 2020",2009,"['action-adventure', ' animation', ' comedy']",rhino gets an upgrade just in time to save bolt and penny from dr. calico.,disney_plus
the proud family,[],"['tommy davidson', ' paula parker', ' jo payton', ' kyla pratt', ' tara strong', ' karen white']",['united states'],"january 1, 2020",2001,"['animation', ' comedy', ' coming of age']","follow the adventures of penny, a typical african american girl navigating through teen-dom.",disney_plus
the super hero squad,[],"['grey delisle', ' steve blum', ' mikey kelly', ' charlie adler', ' mark hamill', ' tom kenny']",['united states'],"january 1, 2020",2009,"['action-adventure', ' animation', ' comedy']",the greatest heroes on the planet unite to face the greatest villains in the super hero squad.,disney_plus
year million,[],['laurence fishburne'],['united states'],"january 1, 2020",2016,"['docuseries', ' science fiction']","explore what human life might be like, one million years into the future.",disney_plus
forky asks a question,['bob peterson'],"['tony hale', ' aloma wright', ' bob peterson']",['united states'],"december 27, 2019",2019,"['animation', ' comedy', ' family']","forky meets rib tickles, and is schooled on the dangers of law enforcement.",disney_plus
star wars,['rian johnson'],"['mark hamill', ' carrie fisher', ' adam driver', ' daisy ridley', ' john boyega', ' oscar isaac']",['united states'],"december 26, 2019",2017,"['action-adventure', ' science fiction']",new heroes and galactic legends join to unlock mysteries of the force.,disney_plus
forky asks a question,['bob peterson'],"['tony hale', ' bonnie hunt', ' bob peterson']",['united states'],"december 20, 2019",2019,"['animation', ' comedy', ' family']","dolly teaches forky about the qualities of a good leader, and he puts those qualities to the test!",disney_plus
george of the jungle 2,['david grossman'],"['thomas church', ' julie benz', ' christina pickles', ' angus jones', ' kelly miller', ' john kassir']","['united states', ' australia']","december 20, 2019",2003,"['action-adventure', ' comedy', ' family']","george must rescue his family, then save the jungle from becoming mulch.",disney_plus
high school musical,['clayton cogswell'],"['joshua bassett', ' olivia rodrigo', ' sofia wylie', ' matt cornett', ' dara renee']",['united states'],"december 20, 2019",2019,"['coming of age', ' documentary', ' drama']",an exclusive look into the making of high school musical: the musical: the series.,disney_plus
pick of the litter,[],[],['united states'],"december 20, 2019",2019,"['animals & nature', ' docuseries', ' family']",watch an adorable group of six dogs on their quest to become guides for guide dogs for the blind.,disney_plus
togo,['ericson core'],"['willem dafoe', ' julianne nicholson', ' christopher heyerdahl', ' richard dormer', ' michael greyeyes', ' michael mcelhatton']",['united states'],"december 20, 2019",2019,"['action-adventure', ' animals & nature', ' family']",an exhilarating and uplifting adventure set in the winter of 1925 of one man and his lead sled dog.,disney_plus
forky asks a question,['bob peterson'],"['tony hale', ' kristen schaal', ' james brinkley', ' bob peterson']",['united states'],"december 13, 2019",2019,"['animation', ' comedy', ' family']",trixie explains to forky what a computer does as they experience the common stresses of technology.,disney_plus
wind,['edwin chang'],"['emilio fuentes', ' sonoko konishi']",['united states'],"december 13, 2019",2019,"['animation', ' family', ' fantasy']","trapped deep down an endless chasm, a grandmother and boy seek to escape to a better life.",disney_plus
forky asks a question,['bob peterson'],"['tony hale', ' carl reiner', ' mel brooks', ' carol burnett', ' betty white', ' kristen schaal']",['united states'],"december 6, 2019",2019,"['animation', ' comedy', ' family']",forky tries to understand the idea of love from some elder toys who think they’ve experienced it.,disney_plus
one day at disney (shorts),[],[],[],"december 6, 2019",2019,"['anthology', ' docuseries', ' family']",meet the diverse group of people behind some of disney’s most magical stories.,disney_plus
marvel studios' thor,['taika waititi'],"['chris hemsworth', ' tom hiddleston', ' cate blanchett', ' idris elba', ' jeff goldblum', ' tessa thompson']",['united states'],"december 5, 2019",2017,"['action-adventure', ' comedy', ' fantasy']",thor races against time to ensure that asgard does not fall into the hela's ruthless hands.,disney_plus
disney the lion guard,[],"['max charles', ' diamond white', ' dusan brown', ' atticus shaffer', ' joshua rush']",['united states'],"december 3, 2019",2015,"['action-adventure', ' animation', ' comedy']",the lion guard has assembled and now they will defend!,disney_plus
one day at disney,['fritz mitchell'],[],['united states'],"december 3, 2019",2019,"['documentary', ' family']",discover the inspiring personal stories of the people behind the enduring magic of disney.,disney_plus
disney star vs. the forces of evil,[],"['eden sher', ' adam mcarthur']",['united states'],"december 1, 2019",2014,"['action-adventure', ' animation', ' comedy']",star battles villains throughout the multiverse.,disney_plus
expedition amelia,['chad cohen'],"['allison janney', ' bob ballard', ' fredrik hiebert']",['united states'],"december 1, 2019",2019,"['action-adventure', ' documentary', ' historical']",dr. robert ballard plans an expedition to solve the mystery of amelia earhart’s disappearance.,disney_plus
glory road,['james gartner'],"['josh lucas', ' derek luke', ' jon voight', ' austin nichols', ' evan jones', ' schin kerr']",['united states'],"december 1, 2019",2006,"['biographical', ' drama', ' sports']",the story of the first all african-american college basketball team.,disney_plus
henry hugglemonster,[],"['lara miller', ' tom kenny', ' chiara zanni', ' lori alan', ' hynden walch', ' kari wahlgren']","['ireland', ' united kingdom', ' united states', ' south korea', ' canada']","december 1, 2019",2012,"['animation', ' fantasy', ' kids']",hugglemonsters always find a way!,disney_plus
incredible! the story of dr. pol,[],"['ari rubin', ' dr. pol']",[],"december 1, 2019",2015,"['animals & nature', ' biographical', ' documentary']",dr. pol shares his life story – from his wartime childhood to a love story fit for the movies.,disney_plus
marvel rising,[],"['dee baker', ' chloe bennet', ' dove cameron', ' skai jackson', ' kathreen khavari', ' kamil mcfadden']",['united states'],"december 1, 2019",2019,"['action-adventure', ' animation', ' superhero']",ghost-spider teams up with the secret warriors.,disney_plus
marvel rising,[],"['dee baker', ' chloe bennet', ' dove cameron', ' robbie daymond', ' kathreen khavari', ' daisy lightfoot']",['united states'],"december 1, 2019",2019,"['action-adventure', ' animation', ' coming of age']",ironheart joins the secret warriors to defend earth.,disney_plus
miles from tomorrowland,[],"['olivia munn', ' cullen mccarthy', ' fiona bishop', ' dee baker', ' tom kenny']",['united states'],"december 1, 2019",2014,"['action-adventure', ' animation', ' kids']",blastastic! join miles and his family in outer space!,disney_plus
sheriff callie's wild west,[],"['mandy moore', ' lucas grabeel']","['united states', ' south korea', ' france']","december 1, 2019",2011,"['animation', ' kids', ' western']",come and see how the west was fun with sheriff callie!,disney_plus
supercar megabuild,[],['dom joly'],['united states'],"december 1, 2019",2016,"['buddy', ' docuseries', ' lifestyle']",a team of top car mechanics create awesome supercar megabuilds.,disney_plus
the incredible dr. pol,[],"['ari rubin', ' dr. pol']",[],"december 1, 2019",2016,"['animals & nature', ' documentary', ' family']",it’s a best-of-the-kids compilation episode with the world’s most famous veterinarian.,disney_plus
coco,['lee unkrich'],"['anthony gonzalez', ' gael bernal', ' benjamin bratt', ' alanna ubach', ' renée victor', ' jaime camil']",['united states'],"november 29, 2019",2017,"['animation', ' family', ' fantasy']",miguel journeys to the magical land of his ancestors.,disney_plus
coco (in spanish),['lee unkrich'],"['anthony gonzalez', ' gael garcía bernal', ' benjamin bratt', ' alanna ubach', ' renée victor', ' jaime camil']",[],"november 29, 2019",2017,"['animation', ' family', ' fantasy']",miguel journeys to the magical land of his ancestors.,disney_plus
forky asks a question,['bob peterson'],"['tony hale', ' wallace shawn', ' alan oppenheimer', ' bob peterson']",['united states'],"november 29, 2019",2019,"['animation', ' comedy', ' family']",rex uses the age of dinosaurs as an example to give forky an understanding of the concept of time.,disney_plus
the wonderful world of disney presents the little mermaid live!,['hamish hamilton'],"[""auli'i cravalho"", ' queen latifah', ' shaggy ', ' john stamos', ' graham phillips', ' amber riley']",['united states'],"november 27, 2019",2019,"['concert film', ' family', ' fantasy']",live musical performances by a star-studded cast are interwoven into the original feature film.,disney_plus
forky asks a question,['bob peterson'],"['tony hale', ' robin downes', ' bob peterson']",['united states'],"november 22, 2019",2019,"['animation', ' comedy', ' family']",mr. pricklepants tells forky about the complexities of being an actor and the art of performance.,disney_plus
mickey mouse roadster racers,[],"['bret iwan', ' russi taylor', ' bill farmer', ' daniel ross', ' tress macneille']",[],"november 20, 2019",2017,"['animation', ' kids', ' sports']",the sensational six race roadsters around the world!,disney_plus
"happy birthday, mickey!",[],[],[],"november 18, 2019",2019,"['animation', ' comedy', ' dance']","celebrating mickey, the world’s most beloved character.",disney_plus
forky asks a question,['bob peterson'],"['tony hale', ' john ratzenberger', ' bob peterson']",['united states'],"november 15, 2019",2019,"['animation', ' comedy', ' family']",forky shares his thoughts on what makes a good friend based on his limited exposure to the world.,disney_plus
10 things i hate about you,['gil junger'],"['heath ledger', ' julia stiles', ' joseph gordon-levitt', ' larisa oleynik', ' david krumholtz', ' andrew keegan']",['united states'],"november 12, 2019",1999,"['comedy', ' coming of age', ' romance']","cameron falls for the girl of his dreams, but she is forbidden to date.",disney_plus
101 dalmatians,"['wolfgang reitherman', ' hamilton luske', ' clyde geronimi']","['rod taylor', "" j. pat o'malley"", ' betty gerson', ' cate bauer', ' ben wright', ' fred worlock']",['united states'],"november 12, 2019",1961,"['action-adventure', ' animation', ' family']",cruella de vil dognaps all of the dalmatian puppies in london.,disney_plus
101 dalmatians ii,"['jim kammerud', ' brian smith']","['barry bostwick', ' jason alexander', ' martin short', ' bobby lockwood', ' susanne blakeslee', ' samuel west']",['united states'],"november 12, 2019",2003,"['action-adventure', ' animation']",pongo and perdita's pup patch gets the chance to meet his tv hero.,disney_plus
102 dalmatians,['kevin lima'],"['glenn close', ' ioan gruffudd', ' alice evans', ' tim mcinnerny', ' ian richardson', ' gérard depardieu']","['united states', ' united kingdom']","november 12, 2019",2000,"['action-adventure', ' animals & nature', ' family']","oddball, the spotless dalmatian puppy, heads out in search of his spots.",disney_plus
12 dates of christmas,['james hayman'],"['amy smart', ' mark-paul gosselaar', ' peter macneil', ' mary long', ' jayne eastwood', ' laura miyata']",['united states'],"november 12, 2019",2011,"['comedy', ' family', ' fantasy']","setup on a christmas eve date, a woman must relive the date over and over.",disney_plus
"20,000 leagues under the sea",['richard fleischer'],"['kirk douglas', ' james mason', ' paul lukas', ' peter lorre', ' robert wilke', ' ted de corsia']",['united states'],"november 12, 2019",1954,"['action-adventure', ' family', ' science fiction']",climb aboard the nautilus and into an undersea world of adventure! see details for advisory.,disney_plus
a bug's life,['john lasseter'],"['dave foley', ' kevin spacey', ' julia louis-dreyfus', ' hayden panettiere', ' phyllis diller', ' richard kind']",['united states'],"november 12, 2019",1998,"['animation', ' comedy', ' family']",flik goes in search of warriors to help battle the villainous grasshoppers.,disney_plus
a goofy movie,['kevin lima'],"['bill farmer', ' jason marsden', ' jim cummings', ' kellie martin', ' rob paulsen', ' wallace shawn']","['united states', ' australia', ' france', ' canada']","november 12, 2019",1995,"['action-adventure', ' animation', ' comedy']",goofy and max hit the road and get up to their floppy ears in misadventure.,disney_plus
a kid in king arthur's court,['michael gottlieb'],"['thomas nicholas', ' joss ackland', ' art malik', ' paloma baeza', ' kate winslet', ' daniel craig']","['united states', ' hungary', ' united kingdom']","november 12, 2019",1995,"['action-adventure', ' comedy', ' coming of age']",a mysterious earthquake sends a teenage boy back into medieval times.,disney_plus
a knight for a day,['jack hannah'],[],['united states'],"november 12, 2019",1946,"['animation', ' comedy', ' family']","goofy jousts for the hand of penelope, as well as the championship. see details for advisory.",disney_plus
a ring of endless light,['greg beeman'],"['mischa barton', ' ryan merriman', ' jared padalecki', ' scarlett pomers', ' soren fulton', ' chris kirby']",['united states'],"november 12, 2019",2002,"['coming of age', ' drama', ' romance']",teenager vicky austin discovers that she can communicate with dolphins.,disney_plus
aladdin (1992),"['ron clements', ' john musker']","['scott weinger', ' robin williams', ' linda larkin', ' jonathan freeman', ' frank welker', ' gilbert gottfried']",['united states'],"november 12, 2019",1992,"['action-adventure', ' animation', ' family']","aladdin, princess jasmine and genie join forces to stop evil jafar.",disney_plus
aladdin and the king of thieves,['tad stones'],"['val bettin', ' jim cummings', ' gilbert gottfried', ' linda larkin', ' jerry orbach', ' john rhys-davies']",['united states'],"november 12, 2019",1996,"['action-adventure', ' animation', ' family']",aladdin and jasmine plan their wedding…but will the forty thieves ruin it?,disney_plus
aladdin,"['toby shelton', ' tad stones', ' alan zaslove']","['jason alexander', ' jeff bennett', ' val bettin', ' liz callaway', ' dan castellaneta', ' jim cummings']",['united states'],"november 12, 2019",1994,"['action-adventure', ' animation', ' family']",aladdin and his friends defend agrabah from jafar's malice.,disney_plus
alice in wonderland,"['clyde geronimi', ' hamilton luske', ' wilfred jackson']","['ed wynn', ' richard haydn', ' sterling holloway', ' jerry colonna', ' verna felton', "" pat o'malley""]",['united states'],"november 12, 2019",1951,"['action-adventure', ' animation', ' family']",join alice as she chases the white rabbit into a topsy-turvy world.,disney_plus
aliens of the deep,"['james cameron', ' steven quale']","['dr. anatoly sagalevitch', ' genya chernaiev', ' victor nischeta', ' dr. pamela conrad', ' dr. arthur lane', ' dr. jim childress']",['united states'],"november 12, 2019",2005,"['action-adventure', ' animals & nature', ' documentary']",james cameron teams up with nasa scientists to explore undersea life.,disney_plus
alley cats strike!,['rod daniel'],"['kyle schmid', "" robert ri'chard"", ' kaley cuoco', ' mimi paley', ' joey wilcots', ' philip williams']","['united states', ' canada']","november 12, 2019",2000,"['coming of age', ' drama', ' sports']",four outcast teens with a love of bowling are thrust into the spotlight.,disney_plus
almost angels,['steve previn'],"['vincent winter', ' sean scully', ' peter weck', ' hans holt', ' bruni löbel', ' fritz eckhardt']",['united states'],"november 12, 2019",1962,"['coming of age', ' drama', ' family']",a working-class youth tries to fit in when with the famed vienna boys' choir.,disney_plus
america's heart & soul,['louie schwartzberg'],"['george woodard', ' charles jimmie sr.', ' the brothers', ' frank pino', ' dave pino', ' john yacobellis']",['united states'],"november 12, 2019",2004,"['documentary', ' family']",journey across the u.s. to meet ordinary people living extraordinary lives.,disney_plus
amy,['vincent mceveety'],"['jenny agutter', ' barry newman', ' kathleen nolan', ' chris robinson', ' lou fant', "" margaret o'brien""]",['united states'],"november 12, 2019",1981,"['drama', ' family']",a young woman takes a job as a teacher in a backwoods school for the deaf.,disney_plus
an extremely goofy movie,['douglas mccarthy'],"['bill farmer', ' jason marsden', ' jeff bennett', ' jim cummings', ' brad garrett', ' vicki lewis']","['united states', ' australia']","november 12, 2019",2000,"['animation', ' comedy', ' family']",goofy shows up to finish college alongside his son max.,disney_plus
andi mack,[],"['peyton lee', ' joshua rush', ' sofia wylie', ' asher angel', ' lilan bowden', ' lauren tom']",['united states'],"november 12, 2019",2016,"['comedy', ' coming of age', ' drama']","andi's life is shaken by her sister, bex's, surprise.",disney_plus
annie,['rob marshall'],"['kathy bates', ' alan cumming', ' audra mcdonald', ' kristin chenoweth', ' victor garber', ' vic polizos']",['united states'],"november 12, 2019",1999,"['drama', ' family', ' musical']",annie escapes a “hard-knock life” and finds a bighearted billionaire.,disney_plus
apollo,['tom jennings'],"['neil armstrong', ' buzz aldrin']",['united states'],"november 12, 2019",2019,"['documentary', ' family', ' historical']","with rare archival footage, this film sheds new light on an incredible time in human history.",disney_plus
atlantis rising,['simcha jacobovici'],"['georgeos diaz-montexano', ' peter vincenti', ' richard freund', ' simcha jacobovici', ' charles pellegrino', ' félix rodrigues']",['canada'],"november 12, 2019",2017,"['documentary', ' historical']",filmmakers go in search of atlantis using plato's writings as a guide to lead the way.,disney_plus
atlantis,"['tad stones', ' toby shelton', ' victor cook']","['james taylor', ' cree summer', ' john mahoney', ' jacqueline obradors', ' don novello', ' corey burton']",['united states'],"november 12, 2019",2003,"['action-adventure', ' animation', ' family']",explorers emerge from below the sea to solve threatening mysteries above.,disney_plus
atlantis,"['gary trousdale', ' kirk wise']","['michael fox', ' james garner', ' cree summer', ' don novello', ' phil morris', ' claudia christian']",['united states'],"november 12, 2019",2001,"['action-adventure', ' animation', ' family']",brave explorers venture under the sea seeking legendary atlantis.,disney_plus
auntie edna,['ted mathot'],"['brad bird', ' eli fucile', ' maeve andrews', ' nick bird', ' noelle zuber', ' craig nelson']",['united states'],"november 12, 2019",2018,"['animation', ' comedy', ' family']",has famous fashionista edna mode met her match in jack-jack?,disney_plus
avatar,['james cameron'],"['sam worthington', ' zoë saldana', ' sigourney weaver', ' stephen lang', ' michelle rodriguez', ' giovanni ribisi']",['united states'],"november 12, 2019",2009,"['action-adventure', ' science fiction']",a man embarks on an adventure to an exotic world that he learns to call home & fights to protect.,disney_plus
babes in the woods,['burt gillett'],[],['united states'],"november 12, 2019",1932,"['animation', ' family', ' fantasy']",two children wander the forest and get lured into a witch's house. see details for advisory.,disney_plus
babes in toyland,['jack donohue'],"['ray bolger', ' tommy sands', ' annette funicello', ' ed wynn', ' tommy kirk', ' kevin corcoran']",['united states'],"november 12, 2019",1961,"['family', ' fantasy', ' musical']",villainous barnaby tries to spoil tom piper and mary contrary's wedding.,disney_plus
bambi,['david hand'],[],['united states'],"november 12, 2019",1942,"['animation', ' drama', ' family']",bambi sets off with his best friends to explore the wonders of the woods.,disney_plus
bambi ii,['brian pimental'],"['patrick stewart', ' alexander gould', ' keith ferguson', ' brendon baerg', ' nicky jones', ' andrea bowen']",['united states'],"november 12, 2019",2006,"['animation', ' drama', ' kids']","bambi reunites with his father, the great prince.",disney_plus
bao,['domee shi'],[],"['united states', ' canada']","november 12, 2019",2018,"['animation', ' family', ' fantasy']",a chinese mom’s life changes when her dumpling comes alive.,disney_plus
beach picnic,['clyde geronimi'],[],['united states'],"november 12, 2019",1939,"['animation', ' comedy', ' family']",donald duck and pluto are at the beach. see details for advisory.,disney_plus
bearly asleep,['jack hannah'],[],['united states'],"november 12, 2019",1955,"['animation', ' comedy', ' family']",donald duck is a ranger and puts the bears to sleep for the winter. see details for advisory.,disney_plus
beauty and the beast,['bob kline'],"['robby benson', "" paige o'hara"", ' david stiers', ' jerry orbach', ' jeff bennett', ' jim cummings']",['united states'],"november 12, 2019",1998,"['animation', ' anthology', ' fantasy']","in three short stories, see belle make a gloomy castle fit for a princess.",disney_plus
beauty and the beast,['andy knight'],"[""paige o'hara"", ' robby benson', ' jerry orbach', ' david stiers', ' bernadette peters', ' tim curry']","['canada', ' united states']","november 12, 2019",1997,"['animation', ' family', ' fantasy']",former composer forte threatens to keep belle and beast apart forever.,disney_plus
beezy bear,['jack hannah'],[],['united states'],"november 12, 2019",1955,"['animation', ' comedy', ' family']",donald tries to catch the bear that is stealing his honey. see details for advisory.,disney_plus
before the flood,['fisher stevens'],"['leonardo dicaprio', ' john kerry', ' barack obama', ' bill clinton']",['united states'],"november 12, 2019",2016,['documentary'],leonardo dicaprio searches for answers on the issue of climate change.,disney_plus
benji the hunted,['joe camp'],"['red steagall', ' frank inn', ' nancy francis', ' mike francis', ' joe camp', ' steve zanolini']",['united states'],"november 12, 2019",1987,"['action-adventure', ' animals & nature', ' family']",benji must navigate the wilderness while caring for orphaned cougar cubs.,disney_plus
best friends whenever,[],"['lauren taylor', ' shelby bender', ' gus kamp', ' ricky garcia', ' benjamin royer', ' matthew royer']",['united states'],"november 12, 2019",2015,"['buddy', ' comedy', ' coming of age']",best friends gain the ability to travel through time!,disney_plus
big city greens (shorts),[],[],[],"november 12, 2019",2017,"['action-adventure', ' animation', ' comedy']",head to the big city with the green family!,disney_plus
big hero 6,"['don hall', ' chris williams']","['scott adsit', ' ryan potter', ' daniel henney', ' t. j. miller', ' jamie chung', ' damon wayans jr.']",['united states'],"november 12, 2019",2014,"['action-adventure', ' animation', ' family']",a boy genius and his robot team up to save their city.,disney_plus
big hero 6 the series (shorts),[],[],[],"november 12, 2019",2017,"['action-adventure', ' animation', ' comedy']",the team introduces baymax to everyday activities.,disney_plus
bizarre dinosaurs,['jenny kubo'],['peter cullen'],['united states'],"november 12, 2019",2009,"['animals & nature', ' documentary', ' family']","which dinosaurs were the strangest of the strange, and how did they get that way?",disney_plus
blank check,['rupert wainwright'],"['brian bonsall', ' karen duffy', ' miguel ferrer', ' james rebhorn', ' tone lōc', ' jayne atkinson']",['united states'],"november 12, 2019",1994,"['comedy', ' family']","an 11-year-old cashes a blank check for a million bucks, with wild results.",disney_plus
boat builders,['ben sharpsteen'],[],['united states'],"november 12, 2019",1938,"['animation', ' comedy', ' family']",mickey and friends build a boat but it falls apart when christened. see details for advisory.,disney_plus
bolt,"['chris williams', ' byron howard']","['john travolta', ' miley cyrus', ' susie essman', ' mark walton', ' malcolm mcdowell', ' james lipton']",['united states'],"november 12, 2019",2008,"['action-adventure', ' animation', ' comedy']",hollywood's smallest star embarks on a paws-itively awesome adventure!,disney_plus
bone bandit,['charles nichols'],[],['united states'],"november 12, 2019",1948,"['animation', ' comedy', ' family']",pluto's efforts to dig up a bone are frustrated by his allergy. see details for advisory.,disney_plus
bonkers,[],"['charlie adler', ' corey burton', ' jesse corti', ' jim cummings', ' frank welker', ' gregg berger']","['united states', ' hong kong', ' south korea', ' france', ' canada', ' china', ' united kingdom', ' australia', ' japan', ' taiwan', ' philippines']","november 12, 2019",1993,"['animation', ' comedy', ' kids']",a washed-up cartoon star begins a new life as the first toon cop in hollywood.,disney_plus
boundin',['bud luckey'],['bud luckey'],['united states'],"november 12, 2019",2004,"['animation', ' family', ' kids']",the musical story of a dancing sheep.,disney_plus
boy meets world,[],"['ben savage', ' william daniels', ' betsy randle', ' will friedle', ' rider strong', ' lee norris']",['united states'],"november 12, 2019",1993,"['comedy', ' coming of age', ' family']","adolescent cory matthews grows up, and faces problems with friends, family, and school.",disney_plus
brave,"['mark andrews', ' brenda chapman']","['kelly macdonald', ' billy connolly', ' emma thompson', ' julie walters', ' robbie coltrane', ' kevin mckidd']","['united states', ' united kingdom']","november 12, 2019",2012,"['animation', ' coming of age', ' family']",princess merida must undo a beastly curse before it’s too late.,disney_plus
brave little toaster to the rescue,['robert ramirez'],"['deanna oliver', ' tim stack', ' jon lovitz', ' thurl ravenscroft', ' phil hartman', ' jay mohr']",['united states'],"november 12, 2019",1999,"['action-adventure', ' animation']",the gang tries to save their animal pals from being sent to a testing lab.,disney_plus
breaking2,['martin roe'],"['lelisa desisa', ' eliud kipchoge', ' zersenay tadese']",['united states'],"november 12, 2019",2017,"['documentary', ' sports']",three of the world’s most elite distance runners set out to break the 2-hour marathon barrier.,disney_plus
brink!,['greg beeman'],"['erik von detten', ' sam horrigan', ' christina vidal', ' robin riker', ' geoffrey blake', ' patrick levis']",['united states'],"november 12, 2019",1998,"['coming of age', ' drama', ' sports']",an in-line skater quits his crew to join a corporate-sponsored team.,disney_plus
